Datum;radiation                ;t_amb;wind_dir                 ;wind_vel                 ;direct radiation                  ;diffuse radiation;rel. Humidity;E_dir_hor;E dif hor;E gl hor;ES_load_actual_entsoe_power_statistics
08.22.2003 00:00;0.00E+00;2.84E+01;3.52E+02;1.20E+00;0.00E+00;0.00E+00;7.90E+01;0;0;0;24173
08.22.2003 01:00;0.00E+00;2.79E+01;3.42E+02;9.00E-01;0.00E+00;0.00E+00;8.30E+01;0;0;0;22736
08.22.2003 02:00;0.00E+00;2.75E+01;3.40E+02;1.45E+00;0.00E+00;0.00E+00;8.40E+01;0;0;0;21684
08.22.2003 03:00;0.00E+00;2.72E+01;3.42E+02;1.50E+00;0.00E+00;0.00E+00;8.35E+01;0;0;0;21200
08.22.2003 04:00;0.00E+00;2.69E+01;1.79E+02;6.00E-01;0.00E+00;0.00E+00;8.45E+01;0;0;0;20885
08.22.2003 05:00;0.00E+00;2.68E+01;1.76E+02;2.50E-01;0.00E+00;0.00E+00;8.50E+01;0;0;0;20943
08.22.2003 06:00;2.45E+02;2.69E+01;1.67E+02;3.50E-01;2.03E+01;2.25E+02;8.70E+01;5.6;62.4;68;20510
08.22.2003 07:00;7.88E+02;2.75E+01;6.90E+01;4.50E-01;1.57E+02;6.31E+02;8.50E+01;43.6;175.4;219;20587
08.22.2003 08:00;1.57E+03;2.85E+01;1.17E+02;4.00E-01;5.61E+02;1.01E+03;7.95E+01;155.8;280.2;436;21863
08.22.2003 09:00;2.23E+03;2.96E+01;1.35E+02;5.00E-01;9.89E+02;1.24E+03;7.40E+01;274.8;344.2;619;23438
08.22.2003 10:00;2.92E+03;3.07E+01;1.48E+02;8.00E-01;1.36E+03;1.57E+03;6.90E+01;377;435;812;24828
08.22.2003 11:00;2.95E+03;3.16E+01;1.42E+02;1.25E+00;1.58E+03;1.37E+03;6.50E+01;439.6;380.4;820;25888
08.22.2003 12:00;3.03E+03;3.23E+01;1.59E+02;1.50E+00;1.62E+03;1.41E+03;6.20E+01;449.2;392.8;842;26916
08.22.2003 13:00;2.75E+03;3.28E+01;1.27E+02;1.90E+00;1.46E+03;1.29E+03;6.05E+01;404.7;358.3;763;27346
08.22.2003 14:00;2.24E+03;3.31E+01;9.90E+01;2.40E+00;9.31E+02;1.31E+03;5.95E+01;258.5;364.5;623;26812
08.22.2003 15:00;1.83E+03;3.31E+01;5.65E+01;2.70E+00;7.11E+02;1.12E+03;6.10E+01;197.4;311.6;509;26243
08.22.2003 16:00;1.08E+03;3.29E+01;1.74E+02;2.80E+00;2.92E+02;7.88E+02;6.15E+01;81;219;300;25757
08.22.2003 17:00;4.39E+02;3.23E+01;1.80E+02;2.90E+00;5.79E+01;3.81E+02;6.15E+01;16.1;105.9;122;25817
08.22.2003 18:00;2.16E+01;3.16E+01;2.90E+01;3.80E+00;0.00E+00;2.16E+01;6.45E+01;0;6;6;25904
08.22.2003 19:00;0.00E+00;3.09E+01;1.85E+02;5.15E+00;0.00E+00;0.00E+00;7.05E+01;0;0;0;26676
08.22.2003 20:00;0.00E+00;3.03E+01;1.79E+02;5.65E+00;0.00E+00;0.00E+00;7.65E+01;0;0;0;29584
08.22.2003 21:00;0.00E+00;2.97E+01;5.00E+01;4.85E+00;0.00E+00;0.00E+00;8.25E+01;0;0;0;29716
08.22.2003 22:00;0.00E+00;2.91E+01;4.55E+01;4.20E+00;0.00E+00;0.00E+00;8.55E+01;0;0;0;28006
08.22.2003 23:00;0.00E+00;2.85E+01;1.79E+02;4.35E+00;0.00E+00;0.00E+00;8.65E+01;0;0;0;25989
